,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
1340,2215 linden ave,80304,Boulder,CO,40.041219,-105.26811399999998,SingleFamily,3.0,2671992.0,01/08/2020,8386.0,4193.0,12579.0,93519.72000000002,2578472.28,0.0366,0.01,30,12,0.008,0.005,7864.340454,3538.9532043,11403.293658300001,1781.3280000000002,1113.3300000000002,2148.7269,16446.678558300002,100,100,100,300,16746.678558300002,20000,53439.840000000004,166959.56000000003,-4167.678558300002,42467.4384516,160319.52,1.2164072291038617
1902,1852 s nome ct,80012,Aurora,CO,39.683184999999995,-104.851763,SingleFamily,3.0,420082.0,01/08/2020,2150.0,1075.0,3225.0,14702.87,405379.13,0.0366,0.01,30,12,0.008,0.005,1236.4063465000002,556.3828559250001,1792.7892024250002,280.05466666666666,175.03416666666666,337.8159416666667,2585.6939774250004,100,100,100,300,2885.6939774250004,20000,8401.64,43104.51,339.3060225749996,6676.594271100001,25204.92,1.1333660107028243
441,10074 vine ct,80229,Thornton,CO,39.879154,-104.962876,SingleFamily,4.0,470035.0,01/08/2020,2495.0,831.6666666666666,3326.6666666666665,16451.225000000002,453583.77499999997,0.0366,0.01,30,12,0.008,0.005,1383.4305137499998,622.5437311874999,2005.9742449374999,313.3566666666667,195.8479166666667,377.98647916666664,2893.1653074375,100,100,100,300,3193.1653074375,20000,9400.7,45851.925,133.5013592291666,7470.52477425,28202.1,1.0305923052303692
395,20681 e lake ave,80016,Centennial,CO,39.607958,-104.748285,Townhouse,3.0,412860.0,01/08/2020,2200.0,1100.0,3300.0,14450.100000000002,398409.89999999997,0.0366,0.01,30,12,0.008,0.005,1215.150195,546.81758775,1761.96778275,275.24,172.025,332.00825,2541.2410327499997,100,100,100,300,2841.2410327499997,20000,8257.2,42707.3,458.7589672500003,6561.811053,24771.6,1.171661956152695
1509,465 marine st,80302,Boulder,CO,40.011903000000004,-105.289978,SingleFamily,5.0,1616640.0,01/08/2020,4602.0,1150.5,5752.5,56582.40000000001,1560057.5999999999,0.0366,0.01,30,12,0.008,0.005,4758.175679999999,2141.179056,6899.354735999999,1077.76,673.6,1300.048,9950.762736,100,100,100,300,10250.762736,20000,32332.8,108915.20000000001,-4498.262736000001,25694.148672,96998.4,0.7576481137618989
1874,1537 s naples st,80017,Aurora,CO,39.688337,-104.795467,SingleFamily,3.0,320001.0,01/08/2020,1875.0,937.5,2812.5,11200.035000000002,308800.96499999997,0.0366,0.01,30,12,0.008,0.005,941.8429432499998,423.8293244624999,1365.6722677125,213.33400000000003,133.33375,257.3341375,1969.6741552125,100,100,100,300,2269.6741552125,20000,6400.02,37600.05500000001,542.8258447875,5085.951893549999,19200.059999999998,1.1183473543057314
693,2778 e 118th cir,80233,Thornton,CO,39.910619,-104.951677,SingleFamily,3.0,358096.0,01/08/2020,2195.0,1097.5,3292.5,12533.36,345562.64,0.0366,0.01,30,12,0.008,0.005,1053.966052,474.2847234,1528.2507754,238.73066666666668,149.20666666666668,287.96886666666666,2204.1569754,100,100,100,300,2504.1569754,20000,7161.92,39695.28,788.3430245999998,5691.4166808,21485.76,1.2547409408876824
715,5270 e 130th ave,80241,Thornton,CO,39.931911,-104.92846499999999,SingleFamily,3.0,369803.0,01/08/2020,2195.0,1097.5,3292.5,12943.105000000001,356859.89499999996,0.0366,0.01,30,12,0.008,0.005,1088.4226797499998,489.79020588749995,1578.2128856374998,246.53533333333334,154.08458333333334,297.3832458333333,2276.2160481374995,100,100,100,300,2576.2160481374995,20000,7396.06,40339.165,716.2839518625005,5877.482470649999,22188.18,1.235302463325654
139,6496 s forest st,80121,Centennial,CO,39.598002,-104.92813000000001,SingleFamily,3.0,501883.0,01/08/2020,2700.0,1350.0,4050.0,17565.905000000002,484317.095,0.0366,0.01,30,12,0.008,0.005,1477.1671397500002,664.7252128875001,2141.8923526375,334.5886666666667,209.11791666666667,403.59757916666666,3089.1965151375,100,100,100,300,3389.1965151375,20000,10037.66,47603.565,660.8034848625002,7976.702554650001,30112.98,1.3070307732834716
520,6662 e 130th ave,80602,Thornton,CO,39.931554,-104.910968,SingleFamily,3.0,458977.0,01/08/2020,2500.0,1250.0,3750.0,16064.195000000002,442912.805,0.0366,0.01,30,12,0.008,0.005,1350.88405525,607.8978248625001,1958.7818801125002,305.98466666666667,191.24041666666668,369.0940041666667,2825.1009676125,100,100,100,300,3125.1009676125,20000,9179.54,45243.735,624.8990323875,7294.773898350001,27538.62,1.2671849989175297
1977,1516 s helena cir,80017,Aurora,CO,39.689040999999996,-104.808223,SingleFamily,3.0,336770.0,01/08/2020,1995.0,997.5,2992.5,11786.95,324983.05,0.0366,0.01,30,12,0.008,0.005,991.1983025,446.039236125,1437.237538625,224.51333333333332,140.32083333333335,270.81920833333334,2072.8909136250004,100,100,100,300,2372.8909136250004,20000,6735.400000000001,38522.35,619.6090863749996,5352.4708335,20206.2,1.167217988258764
